ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60629,16,04/12/2020,04/18/2020,255,565,228,505.1,531,1323,475,1182.8,0.4,0.4,4,17,3.6,15.2,111850,60629-2020-16,POINT (-87.711565 41.777061)
60629,17,04/19/2020,04/25/2020,431,996,385,890.5,940,2263,840,2023.2,0.4,0.4,8,25,7.2,22.4,111850,60629-2020-17,POINT (-87.711565 41.777061)
60629,18,04/26/2020,05/02/2020,567,1563,507,1397.4,1256,3519,1123,3146.2,0.4,0.4,7,32,6.3,28.6,111850,60629-2020-18,POINT (-87.711565 41.777061)
60629,19,05/03/2020,05/09/2020,475,2038,425,1822.1,1516,5035,1355,4501.6,0.3,0.4,10,42,8.9,37.6,111850,60629-2020-19,POINT (-87.711565 41.777061)
60629,20,05/10/2020,05/16/2020,455,2493,407,2228.9,1664,6699,1488,5989.3,0.3,0.3,11,53,9.8,47.4,111850,60629-2020-20,POINT (-87.711565 41.777061)
60629,21,05/17/2020,05/23/2020,385,2878,344,2573.1,1722,8421,1540,7528.8,0.2,0.3,11,64,9.8,57.2,111850,60629-2020-21,POINT (-87.711565 41.777061)
60629,22,05/24/2020,05/30/2020,256,3134,229,2802,1460,9881,1305,8834.2,0.2,0.3,10,74,8.9,66.2,111850,60629-2020-22,POINT (-87.711565 41.777061)
60629,23,05/31/2020,06/06/2020,116,3250,104,2905.7,1034,10915,924,9758.6,0.2,0.3,5,79,4.5,70.6,111850,60629-2020-23,POINT (-87.711565 41.777061)
60629,24,06/07/2020,06/13/2020,93,3343,83,2988.8,1139,12054,1018,10776.9,0.1,0.3,7,86,6.3,76.9,111850,60629-2020-24,POINT (-87.711565 41.777061)
60629,25,06/14/2020,06/20/2020,82,3425,73,3062.1,994,13048,889,11665.6,0.1,0.3,4,90,3.6,80.5,111850,60629-2020-25,POINT (-87.711565 41.777061)
60629,26,06/21/2020,06/27/2020,83,3508,74,3136.3,1171,14219,1047,12712.6,0.1,0.2,4,94,3.6,84.0,111850,60629-2020-26,POINT (-87.711565 41.777061)
60629,27,06/28/2020,07/04/2020,70,3578,63,3198.9,960,15179,858,13570.9,0.1,0.2,4,98,3.6,87.6,111850,60629-2020-27,POINT (-87.711565 41.777061)
60629,28,07/05/2020,07/11/2020,83,3661,74,3273.1,1362,16541,1218,14788.6,0.1,0.2,1,99,0.9,88.5,111850,60629-2020-28,POINT (-87.711565 41.777061)
60629,10,03/07/2021,03/13/2021,99,16121,88,14413.1,1999,103835,1787,92834.2,0.1,0.2,1,237,0.9,211.9,111850,60629-2021-10,POINT (-87.711565 41.777061)
60629,11,03/14/2021,03/20/2021,89,16210,80,14492.6,1846,105681,1650,94484.6,0.1,0.2,2,239,1.8,213.7,111850,60629-2021-11,POINT (-87.711565 41.777061)
60629,29,07/12/2020,07/18/2020,104,3765,93,3366.1,1603,18144,1433,16221.7,0.1,0.2,3,102,2.7,91.2,111850,60629-2020-29,POINT (-87.711565 41.777061)
60629,30,07/19/2020,07/25/2020,99,3864,88,3454.6,1410,19554,1261,17482.3,0.1,0.2,2,104,1.8,93.0,111850,60629-2020-30,POINT (-87.711565 41.777061)
60629,31,07/26/2020,08/01/2020,153,4017,137,3591.4,1835,21389,1641,19122.9,0.1,0.2,4,108,3.6,96.6,111850,60629-2020-31,POINT (-87.711565 41.777061)
60629,32,08/02/2020,08/08/2020,189,4206,169,3760.4,1678,23067,1500,20623.2,0.1,0.2,2,110,1.8,98.3,111850,60629-2020-32,POINT (-87.711565 41.777061)
60629,12,03/21/2021,03/27/2021,115,16325,103,14595.4,1864,107545,1666,96151.1,0.1,0.2,1,240,0.9,214.6,111850,60629-2021-12,POINT (-87.711565 41.777061)
60629,13,03/28/2021,04/03/2021,139,16464,124,14719.7,2064,109609,1845,97996.4,0.1,0.2,1,241,0.9,215.5,111850,60629-2021-13,POINT (-87.711565 41.777061)
60629,14,04/04/2021,04/10/2021,165,16629,148,14867.2,2222,111831,1987,99983,0.1,0.2,3,244,2.7,218.1,111850,60629-2021-14,POINT (-87.711565 41.777061)
60629,15,04/11/2021,04/17/2021,145,16774,130,14996.9,2209,114040,1975,101958,0.1,0.2,3,247,2.7,220.8,111850,60629-2021-15,POINT (-87.711565 41.777061)
